('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         673989 function calls (655647 primitive calls) in 1.495 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68/37    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       67    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       66    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       64    0.000    0.000    0.211    0.003 client.py:633(_safe_read)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       56    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       54    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
       54    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
       54    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
    52/14    0.001    0.000    0.010    0.001 css_parser.py:911(parse_selectors)
       52    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       51    0.000    0.000    0.784    0.015 {method 'readline' of '_io.BufferedReader' objects}
       51    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       51    0.000    0.000    0.000    0.000 parser.py:123(set_cdata_mode)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       50    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       49    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
    44/25    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       43    0.001    0.000    0.015    0.000 response.py:122(decompress)
       43    0.000    0.000    0.227    0.005 response.py:1044(stream)
       43    0.000    0.000    0.227    0.005 response.py:1173(read_chunked)
       43    0.000    0.000    0.227    0.005 models.py:816(generate)
       43    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       43    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       42    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       42    0.000    0.000    0.015    0.000 response.py:469(_decode)
       42    0.000    0.000    0.212    0.005 response.py:1151(_handle_chunk)
    42/30    0.000    0.000    0.007    0.000 css_parser.py:569(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       42    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       41    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
    38/29    0.000    0.000    0.007    0.000 css_parser.py:732(parse_pseudo_open)
       37    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       36    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
